keyword	url	source
Acaba, Joseph	https://www.britannica.com/biography/Joseph-Acaba	Britannica
Acausal Initial Conditions	https://ned.ipac.caltech.edu/level5/Glossary/Glossary_A.html	NED
Accelerating Universe	https://astro4edu.org/resources/glossary/term/4/	Astro4Edu
Acceleration	https://ned.ipac.caltech.edu/level5/Glossary/Glossary_A.html	NED
acceleration	https://hyperphysics.phy-astr.gsu.edu/hbase/acca.html	HyperPhysics
Accelerator	https://ned.ipac.caltech.edu/level5/Glossary/Glossary_A.html	NED
Accretion	https://astro4edu.org/resources/glossary/term/425/	Astro4Edu
Accretion	https://ned.ipac.caltech.edu/level5/Glossary/Glossary_A.html	NED
Accretion Disk	https://astro4edu.org/resources/glossary/term/426/	Astro4Edu
Accretion Disk	https://ned.ipac.caltech.edu/level5/Glossary/Glossary_A.html	NED
accretion disk	https://www.britannica.com/science/accretion-disk	Britannica
Accumulation Theory	https://ned.ipac.caltech.edu/level5/Glossary/Glossary_A.html	NED
Achernar	https://ned.ipac.caltech.edu/level5/Glossary/Glossary_A.html	NED
Achernar	https://www.britannica.com/place/Achernar	Britannica
Achilles	https://ned.ipac.caltech.edu/level5/Glossary/Glossary_A.html	NED
achondrite	https://www.britannica.com/science/achondrite	Britannica
Achromat	https://ned.ipac.caltech.edu/level5/Glossary/Glossary_A.html	NED
Achromatic Color	https://ned.ipac.caltech.edu/level5/Glossary/Glossary_A.html	NED
Achromatic Lens	https://ned.ipac.caltech.edu/level5/Glossary/Glossary_A.html	NED
Achromatic Objective	https://ned.ipac.caltech.edu/level5/Glossary/Glossary_A.html	NED
ACS	https://hyperphysics.phy-astr.gsu.edu/hbase/solar/hubinst.html	HyperPhysics
Actinic Radiation	https://ned.ipac.caltech.edu/level5/Glossary/Glossary_A.html	NED
Actinium	https://ned.ipac.caltech.edu/level5/Glossary/Glossary_A.html	NED
Action	https://ned.ipac.caltech.edu/level5/Glossary/Glossary_A.html	NED
Action-at-a-Distance	https://ned.ipac.caltech.edu/level5/Glossary/Glossary_A.html	NED
Active Galactic Nucleus	https://astro4edu.org/resources/glossary/term/5/	Astro4Edu
Active Galactic Nucleus	https://ned.ipac.caltech.edu/level5/Glossary/Glossary_A.html	NED
active galactic nucleus	https://www.britannica.com/science/active-galactic-nucleus	Britannica
Active Optics	https://ned.ipac.caltech.edu/level5/Glossary/Glossary_A.html	NED
Active Sun	https://ned.ipac.caltech.edu/level5/Glossary/Glossary_A.html	NED
Activity	https://ned.ipac.caltech.edu/level5/Glossary/Glossary_A.html	NED
Acuity, Visual	https://ned.ipac.caltech.edu/level5/Glossary/Glossary_A.html	NED
Adams, John Couch	https://www.britannica.com/biography/John-Couch-Adams	Britannica
Adams, Walter	https://www.britannica.com/biography/Walter-Adams	Britannica
Adaptive Optics	https://astro4edu.org/resources/glossary/term/427/	Astro4Edu
Adaptive Optics	https://ned.ipac.caltech.edu/level5/Glossary/Glossary_A.html	NED
ADC	https://ned.ipac.caltech.edu/level5/Glossary/Glossary_A.html	NED
ADF	https://ned.ipac.caltech.edu/level5/Glossary/Glossary_A.html	NED
Adhara	https://www.britannica.com/place/Adhara	Britannica
Adhesion	https://ned.ipac.caltech.edu/level5/Glossary/Glossary_A.html	NED
Adiabatic Change	https://ned.ipac.caltech.edu/level5/Glossary/Glossary_A.html	NED
Adiabatic Demagnetization	https://ned.ipac.caltech.edu/level5/Glossary/Glossary_A.html	NED
Adiabatic Fluctuations	https://ned.ipac.caltech.edu/level5/Glossary/Glossary_A.html	NED
Adiabatic Index ()	https://ned.ipac.caltech.edu/level5/Glossary/Glossary_A.html	NED
Adsorption	https://ned.ipac.caltech.edu/level5/Glossary/Glossary_A.html	NED
ADU	https://ned.ipac.caltech.edu/level5/Glossary/Glossary_A.html	NED
Advance of the Perihelion	https://ned.ipac.caltech.edu/level5/Glossary/Glossary_A.html	NED
Advection	https://ned.ipac.caltech.edu/level5/Glossary/Glossary_A.html	NED
AE Aurigae	https://ned.ipac.caltech.edu/level5/Glossary/Glossary_A.html	NED
Ae or A Emission Stars	https://ned.ipac.caltech.edu/level5/Glossary/Glossary_A.html	NED
Aeon (or Eon)	https://ned.ipac.caltech.edu/level5/Glossary/Glossary_A.html	NED
Aerolite	https://ned.ipac.caltech.edu/level5/Glossary/Glossary_A.html	NED
Aether	https://ned.ipac.caltech.edu/level5/Glossary/Glossary_A.html	NED
After-Image	https://ned.ipac.caltech.edu/level5/Glossary/Glossary_A.html	NED
AG catalog	https://www.britannica.com/topic/AG-catalog	Britannica
Age of the Universe	https://ned.ipac.caltech.edu/level5/Glossary/Glossary_A.html	NED
AI Velorum Stars	https://ned.ipac.caltech.edu/level5/Glossary/Glossary_V.html#V26	NED
AIM	https://www.britannica.com/topic/AIM	Britannica
AIPS	https://ned.ipac.caltech.edu/level5/Glossary/Glossary_A.html	NED
Airglow	https://ned.ipac.caltech.edu/level5/Glossary/Glossary_A.html	NED
Airy Diffraction Disk	https://ned.ipac.caltech.edu/level5/Glossary/Glossary_A.html	NED
Airy, Sir George Biddell	https://www.britannica.com/biography/George-Biddell-Airy	Britannica
Aitken, Robert Grant	https://www.britannica.com/biography/Robert-Grant-Aitken	Britannica
Akari	https://www.britannica.com/topic/Akari	Britannica
Akatsuki	https://www.britannica.com/topic/Akatsuki	Britannica
Akiyama Toyohiro	https://www.britannica.com/biography/Akiyama-Toyohiro	Britannica
Al Saud, Sultan ibn Salman	https://www.britannica.com/biography/Sultan-ibn-Salman-Al-Saud	Britannica
al-Hamdani	https://www.britannica.com/biography/al-Hamdani	Britannica
al-Hanafi, Alam al-Din	https://www.britannica.com/biography/Alam-al-Din-al-Hanafi	Britannica
Alan B. Shepard, Jr.	https://www.britannica.com/biography/Alan-B-Shepard-Jr	Britannica
Albedo	https://ned.ipac.caltech.edu/level5/Glossary/Glossary_A.html	NED
albedo	https://hyperphysics.phy-astr.gsu.edu/hbase/phyopt/albedo.html	HyperPhysics
Alchemy	https://ned.ipac.caltech.edu/level5/Glossary/Glossary_A.html	NED
Alcor	https://www.britannica.com/place/Alcor	Britannica
Alcyone	https://ned.ipac.caltech.edu/level5/Glossary/Glossary_A.html	NED
Aldebaran	https://ned.ipac.caltech.edu/level5/Glossary/Glossary_A.html	NED
Aldebaran	https://www.britannica.com/place/Aldebaran	Britannica
Alfonsine Tables	https://www.britannica.com/topic/Alfonsine-Tables	Britannica
Alfvén Number	https://ned.ipac.caltech.edu/level5/Glossary/Glossary_A.html	NED
Alfvén Speed	https://ned.ipac.caltech.edu/level5/Glossary/Glossary_A.html	NED
Alfvén Waves	https://ned.ipac.caltech.edu/level5/Glossary/Glossary_A.html	NED
Alfven, Hannes	https://www.britannica.com/biography/Hannes-Alfven	Britannica
Alfvén-Klein Cosmology	https://ned.ipac.caltech.edu/level5/Glossary/Glossary_A.html	NED
Algol	https://ned.ipac.caltech.edu/level5/Glossary/Glossary_A.html	NED
Algol	https://www.britannica.com/place/Algol-star	Britannica
ALH84001	https://www.britannica.com/topic/ALH84001	Britannica
Aliasing	https://ned.ipac.caltech.edu/level5/Glossary/Glossary_A.html	NED
alien	https://www.britannica.com/science/alien-extraterrestrial-life	Britannica
Allende meteorite	https://www.britannica.com/science/Allende-meteorite	Britannica
Allotropy	https://ned.ipac.caltech.edu/level5/Glossary/Glossary_A.html	NED
Almagest	https://ned.ipac.caltech.edu/level5/Glossary/Glossary_A.html	NED
Almagest	https://www.britannica.com/topic/Almagest	Britannica
almucantar	https://www.britannica.com/science/almucantar	Britannica
Alpha Centauri	https://astro4edu.org/resources/glossary/term/504/	Astro4Edu
Alpha Centauri	https://hyperphysics.phy-astr.gsu.edu/hbase/starlog/strclos.html	HyperPhysics
Alpha Centauri	https://ned.ipac.caltech.edu/level5/Glossary/Glossary_A.html	NED
Alpha Centauri	https://www.britannica.com/place/Alpha-Centauri	Britannica
Alpha Crucis	https://www.britannica.com/place/Alpha-Crucis	Britannica
Alpha Decay	https://ned.ipac.caltech.edu/level5/Glossary/Glossary_A.html	NED
alpha particle	https://hyperphysics.phy-astr.gsu.edu/hbase/nuclear/radact.html	HyperPhysics
Alpha Particles	https://ned.ipac.caltech.edu/level5/Glossary/Glossary_A.html	NED
Altair	https://ned.ipac.caltech.edu/level5/Glossary/Glossary_A.html	NED
Altair	https://www.britannica.com/place/Altair-star	Britannica
Altitude	https://astro4edu.org/resources/glossary/term/6/	Astro4Edu
Altitude	https://ned.ipac.caltech.edu/level5/Glossary/Glossary_A.html	NED
altitude and azimuth	https://www.britannica.com/science/altitude-angular	Britannica
Altitude-Azimuth	https://ned.ipac.caltech.edu/level5/Glossary/Glossary_A.html	NED
am	https://ned.ipac.caltech.edu/level5/Glossary/Glossary_A.html	NED
AM Canum Venaticorum (HZ 29)	https://ned.ipac.caltech.edu/level5/Glossary/Glossary_C.html	NED
AM radio	https://hyperphysics.phy-astr.gsu.edu/hbase/audio/bcast.html	HyperPhysics
Am Stars	https://ned.ipac.caltech.edu/level5/Glossary/Glossary_A.html	NED
Amagat	https://ned.ipac.caltech.edu/level5/Glossary/Glossary_A.html	NED
Amalthea	https://ned.ipac.caltech.edu/level5/Glossary/Glossary_A.html#amalh76	NED
Amalthea	https://www.britannica.com/place/Amalthea	Britannica
Amaterasu	https://www.britannica.com/topic/Amaterasu	Britannica
Ambartsumian, Viktor	https://www.britannica.com/biography/Viktor-Ambartsumian	Britannica
Amici, Giovanni Battista	https://www.britannica.com/biography/Giovanni-Battista-Amici	Britannica
Amili, Baha ad-din Muhammad ibn Husayn, al-	https://www.britannica.com/biography/Baha-ad-din-Muhammad-ibn-Husayn-al-Amili	Britannica
Amorphous	https://ned.ipac.caltech.edu/level5/Glossary/Glossary_A.html	NED
Ampere	https://ned.ipac.caltech.edu/level5/Glossary/Glossary_A.html	NED
Amplifier	https://ned.ipac.caltech.edu/level5/Glossary/Glossary_A.html	NED
Amplitude	https://ned.ipac.caltech.edu/level5/Glossary/Glossary_A.html	NED
Amplitude Modulation	https://ned.ipac.caltech.edu/level5/Glossary/Glossary_A.html	NED
